0	chia	[(2, 4.977449893951416)]
1	90	[]
2	wronggg	[(9, 2.5287225246429443)]
3	attach	[(6, 3.5349769592285156), (5, 1.892960786819458)]
4	sensor	[(0, 0.8878768086433411)]
5	particular	[(19, 2.9809954166412354), (0, 1.87159264087677)]
6	wash	[(0, 1.5564227104187012), (19, 1.3195676803588867)]
7	diet	[(10, 2.0358903408050537), (6, 1.8914711475372314)]
8	situat	[(13, 2.441460371017456), (6, 1.5924792289733887)]
9	own	[]
10	end	[(19, 1.5632994174957275), (2, 1.544805884361267)]
11	thicker	[(13, 3.5146188735961914), (10, 0.6986660957336426)]
12	real	[(11, 1.9090502262115479), (4, 1.6719642877578735)]
13	six	[(4, 2.552375316619873), (9, 1.476015329360962)]
14	mainten	[(15, 2.4971163272857666), (10, 0.8298423886299133)]
15	factor	[(4, 2.309976100921631), (1, 2.083897590637207)]
16	burnt	[(8, 3.4685864448547363), (9, 2.0392541885375977)]
17	goal	[(10, 1.0290238857269287)]
18	abl	[(0, 0.8878768086433411)]
19	i_drop	[(4, 2.864424228668213)]
20	smart	[(17, 4.614989280700684), (0, 2.2229888439178467)]
21	one_it	[(10, 1.8517451286315918)]
22	splater	[(16, 3.9811270236968994)]
23	tip	[(2, 2.3129701614379883), (6, 1.5924792289733887)]
24	cannot	[]
25	the_on	[(7, 1.8463189601898193), (1, 1.4939783811569214)]
26	smallest	[(7, 3.7112083435058594), (6, 1.8914711475372314)]
27	asap	[(9, 2.5287225246429443)]
28	weird	[(8, 4.536156177520752), (9, 1.7169015407562256)]
29	quiet	[(10, 1.8007131814956665), (12, 1.7665271759033203)]
30	issu	[(10, 1.4717258214950562), (11, 1.451849102973938)]
31	relief	[(0, 0.8878768086433411)]
32	tool	[(17, 3.340336561203003), (14, 2.2609832286834717)]
33	have	[]
34	tumbler	[(6, 2.345468282699585)]
35	bruan	[(10, 1.0290238857269287)]
36	insecur	[(7, 4.601984977722168)]
37	scallion	[(10, 1.0290238857269287)]
38	whoever	[]
39	16oz	[(5, 3.6126155853271484), (6, 3.1082725524902344)]
40	want_to_buy	[(10, 1.0290238857269287)]
41	on	[]
42	powder	[(2, 2.2169482707977295), (13, 1.7740343809127808)]
43	recommend	[(9, 0.8989017605781555), (4, 0.8330315351486206)]
44	splash	[(4, 3.5263466835021973), (1, 2.083897590637207)]
45	bigger	[(5, 2.176499366760254), (2, 1.9884538650512695)]
46	sure	[(8, 1.1536585092544556), (16, 1.093679666519165)]
47	sound	[(16, 2.4724783897399902), (17, 1.842189073562622)]
48	competit	[(1, 1.7544881105422974), (10, 0.6986660957336426)]
49	so_into	[(14, 3.8735365867614746)]
50	meet	[(0, 0.8878768086433411)]
51	mark	[(18, 3.6415061950683594), (11, 1.9090502262115479)]
52	plan	[(14, 3.688878297805786), (2, 1.9884538650512695)]
53	part	[(2, 1.7676559686660767), (8, 1.7639650106430054)]
54	item	[(14, 0.8869719505310059), (7, 0.8621789216995239)]
55	stain	[(0, 0.8878768086433411)]
56	choic	[(1, 2.7418758869171143), (10, 0.6986660957336426)]
57	pofff	[(9, 2.5287225246429443)]
58	blender	[(15, 0.08038652688264847), (0, 0.07971982657909393)]
59	world	[(17, 2.8147132396698), (1, 1.7544881105422974)]
60	oz	[(5, 3.6126155853271484), (6, 3.1082725524902344)]
61	direct	[(3, 1.8046319484710693), (10, 1.8007131814956665)]
62	textur	[(1, 1.5083284378051758), (10, 1.4735807180404663)]
63	vibe	[(0, 0.8878768086433411)]
64	a_lot	[(14, 1.4418610334396362), (2, 1.3418437242507935)]
65	been	[]
66	freakin	[(0, 0.8878768086433411)]
67	wont	[(15, 1.3939623832702637), (12, 1.3702094554901123)]
68	realiz	[(11, 3.2798285484313965), (2, 2.3129701614379883)]
69	addit	[(1, 1.3839856386184692), (3, 1.059563398361206)]
70	wonder	[(12, 2.712775230407715), (11, 2.1466002464294434)]
71	colleg	[(9, 2.0392541885375977), (10, 0.8298423886299133)]
72	imper	[(10, 1.0290238857269287)]
73	squaretrad	[(1, 2.5840816497802734)]
74	the_first	[(9, 0.9297651052474976), (14, 0.9137798547744751)]
75	easy_to_set_up	[(0, 0.8878768086433411)]
76	let	[]
77	whip	[(11, 2.6375327110290527), (10, 2.0358903408050537)]
78	49	[]
79	oster	[(4, 2.552375316619873), (0, 2.300764799118042)]
80	fill	[(8, 1.7639650106430054), (12, 1.648474931716919)]
81	the_problem	[(6, 2.345468282699585)]
82	discretionari	[(0, 0.8878768086433411)]
83	be	[]
84	answer	[(3, 2.0991485118865967), (10, 1.2572609186172485)]
85	exretem	[(11, 3.270601987838745)]
86	jet	[(6, 2.345468282699585)]
87	sauc	[(3, 2.0991485118865967), (10, 1.7140696048736572)]
88	everyday	[(9, 1.476015329360962), (6, 1.3690497875213623)]
89	do	[]
90	oy	[(14, 3.8735365867614746)]
91	y	[]
92	abil	[(1, 2.0501060485839844), (13, 1.8254848718643188)]
93	because_i_need	[]
94	exampl	[(6, 1.5924792289733887), (0, 1.099931240081787)]
95	via	[]
96	your	[]
97	util	[(10, 1.8517451286315918)]
98	wind	[(11, 3.270601987838745)]
99	spirit	[(3, 3.0917115211486816)]
100	these	[]
101	was	[]
102	get	[]
103	refund	[(8, 3.4258241653442383), (19, 2.562753200531006)]
104	popular	[(4, 2.864424228668213)]
105	sharkninja	[(13, 5.176473617553711)]
106	juic	[(5, 2.362550973892212), (16, 2.0210580825805664)]
107	caulflow	[(0, 0.8878768086433411)]
108	maintain	[(10, 0.8298423886299133), (0, 0.7160161733627319)]
109	produc	[(3, 2.0991485118865967), (10, 0.6986660957336426)]
110	much	[]
111	borrow	[(10, 1.0290238857269287)]
112	sharp	[(1, 4.192159175872803), (0, 3.7769925594329834)]
113	june	[(14, 3.8735365867614746)]
114	afraid	[(9, 2.5287225246429443)]
115	worst	[]
116	smoothi	[(5, 0.07706719636917114), (10, 0.07498104870319366)]
117	tax	[(13, 2.899850606918335), (6, 1.8914711475372314)]
118	scare	[(13, 3.5958824157714844)]
119	works_good_for	[(15, 3.096482515335083)]
120	state	[(15, 2.7072362899780273), (4, 2.552375316619873)]
121	dramat	[(0, 0.8878768086433411)]
122	tax	[(13, 2.899850606918335), (6, 1.8914711475372314)]
123	set	[(2, 1.1356006860733032), (18, 1.0745829343795776)]
124	remain	[(2, 2.7472362518310547), (0, 1.3064460754394531)]
125	blend	[(1, 0.07570785284042358), (3, 0.07371670007705688)]
126	further	[]
127	pierc	[(13, 3.5958824157714844)]
128	ground	[(15, 2.4971163272857666), (10, 1.4933147430419922)]
129	combo	[(10, 0.8298423886299133), (0, 0.7160161733627319)]
130	mango	[(9, 2.5287225246429443)]
131	especi	[(1, 2.5234954357147217), (12, 1.5363967418670654)]
132	largeish	[(12, 3.026430130004883)]
133	highly_recommend	[(10, 2.0130152702331543), (5, 1.892960786819458)]
134	longer	[(16, 1.7690914869308472), (9, 1.7643368244171143)]
135	8mm	[(10, 1.8517451286315918)]
136	lack	[(19, 2.9809954166412354), (15, 2.1023879051208496)]
137	serv	[(12, 2.784456968307495), (2, 1.7294124364852905)]
138	leaf	[(1, 2.5840816497802734)]
139	form	[(3, 4.480363845825195), (10, 0.8298423886299133)]
140	64	[]
141	stabl	[(12, 3.026430130004883)]
142	smooth	[(12, 1.3927985429763794), (5, 1.2121068239212036)]
143	expect	[(17, 2.1239395141601562), (15, 1.8559545278549194)]
144	prong	[(0, 0.8878768086433411)]
145	product	[(14, 1.4418610334396362), (19, 1.3579074144363403)]
146	neighborhood	[(4, 2.864424228668213)]
147	hundr	[(16, 3.2105259895324707), (1, 2.083897590637207)]
148	9cup	[(11, 1.5759745836257935), (8, 1.5598431825637817)]
149	someone_ind	[(8, 4.301128387451172)]
150	hope	[(13, 2.366366386413574), (12, 1.7787481546401978)]
151	scrambl	[(10, 1.0290238857269287)]
152	vote	[(6, 2.345468282699585)]
153	this_thing_i	[(11, 1.9090502262115479), (0, 1.609002709388733)]
154	weak	[(3, 2.4932687282562256), (10, 0.8298423886299133)]
155	consist	[(16, 3.247102975845337), (15, 2.0610129833221436)]
156	a_great	[(8, 1.5415802001953125), (5, 1.2223601341247559)]
157	line	[(10, 1.8045519590377808), (2, 1.3291313648223877)]
158	present	[(14, 2.629976511001587), (1, 1.7544881105422974)]
159	trying_to_add	[(2, 3.406636953353882)]
160	one_of	[(4, 1.594011902809143), (6, 1.4024897813796997)]
161	rolex	[(10, 1.0290238857269287)]
162	god	[(9, 2.5287225246429443)]
163	learn	[(10, 1.0290238857269287)]
164	throw	[(14, 2.4254021644592285), (1, 1.794517993927002)]
165	mere	[(10, 1.8517451286315918)]
166	less_than_idea	[(12, 3.026430130004883)]
167	pack	[(11, 2.8196592330932617), (19, 2.562753200531006)]
168	charm	[(6, 1.8914711475372314), (0, 0.7160161733627319)]
169	ave	[(3, 4.632707595825195)]
170	utmost	[(2, 3.406636953353882)]
171	seed	[(2, 2.29469633102417), (3, 2.167630195617676)]
172	good_pric	[(15, 3.096482515335083)]
173	spin	[(18, 3.197903871536255), (4, 1.9448294639587402)]
174	share	[(10, 1.0290238857269287)]
175	crappi	[(10, 1.0290238857269287)]
176	spoon	[(15, 1.5719596147537231), (4, 1.4541529417037964)]
177	sound	[(16, 2.4724783897399902), (17, 1.842189073562622)]
178	key	[(0, 2.2341086864471436)]
179	not_even	[(3, 1.8046319484710693), (4, 1.6719642877578735)]
180	like	[]
181	hate	[(3, 2.351839065551758), (4, 2.2198703289031982)]
182	the_cost	[(18, 1.614169716835022), (4, 1.498590111732483)]
183	movement	[(1, 2.5840816497802734)]
184	sure	[(8, 1.1536585092544556), (16, 1.093679666519165)]
185	symmetr	[(3, 3.0917115211486816)]
186	estat	[(10, 1.0290238857269287)]
187	mess	[(4, 1.7060703039169312), (16, 1.5532740354537964)]
188	doesnt	[(8, 0.3605485260486603), (18, 0.2994174063205719)]
189	water	[(0, 1.836840033531189), (2, 1.7058266401290894)]
190	isn_t	[(16, 1.3643759489059448), (14, 1.3275034427642822)]
191	un	[(0, 0.8878768086433411)]
192	bullett	[(13, 2.899850606918335), (10, 1.4933147430419922)]
193	origin	[(4, 3.0957555770874023), (14, 2.2609832286834717)]
194	vibrat	[(12, 3.0953989028930664), (14, 2.629976511001587)]
195	wipe	[(0, 0.8878768086433411)]
196	dollar	[(19, 2.562753200531006), (3, 1.8046319484710693)]
197	reason	[(3, 1.669774055480957), (7, 1.3831197023391724)]
198	stretch	[(10, 1.8517451286315918)]
199	obstacl	[(10, 1.0290238857269287)]
200	swallow	[(10, 1.0290238857269287)]
201	beet	[(10, 1.0290238857269287)]
202	absolut	[(7, 1.401557445526123), (4, 1.210028886795044)]
203	mini	[(5, 3.753000259399414), (10, 0.8298423886299133)]
204	notic	[(1, 2.7093889713287354), (2, 1.5138055086135864)]
205	centr	[(6, 2.345468282699585)]
206	headlin	[(10, 1.0290238857269287)]
207	three	[(4, 1.7839010953903198), (2, 1.7676559686660767)]
208	to_get	[(14, 0.6280809640884399), (2, 0.5727736353874207)]
209	good	[(6, 1.484297513961792), (8, 1.339041829109192)]
210	past	[(13, 1.4029672145843506), (15, 1.208121657371521)]
211	lighter	[(11, 3.270601987838745)]
212	corrug	[(12, 5.484888076782227)]
213	easy_and	[(10, 0.8298423886299133), (0, 0.7160161733627319)]
214	previous	[(17, 3.1403050422668457), (13, 2.695157766342163)]
215	pure	[(0, 2.300764799118042), (2, 1.9884538650512695)]
216	price_and	[(0, 0.8878768086433411)]
217	hope	[(13, 2.366366386413574), (12, 1.7787481546401978)]
218	jan	[(10, 1.0290238857269287)]
219	design	[(6, 1.414597749710083), (0, 1.4096566438674927)]
220	sake	[]
221	expect	[(17, 2.1239395141601562), (15, 1.8559545278549194)]
222	the_box	[(19, 2.322167158126831), (8, 1.6781255006790161)]
223	prep	[(14, 3.705814838409424), (5, 1.5859909057617188)]
224	toler	[(0, 0.8878768086433411)]
225	counter	[(5, 1.6256341934204102), (15, 1.2182241678237915)]
226	factori	[(14, 3.8735365867614746)]
227	home	[(2, 2.905337333679199), (12, 1.7665271759033203)]
228	metal	[(4, 1.9448294639587402), (1, 1.7544881105422974)]
229	juic	[(5, 2.362550973892212), (16, 2.0210580825805664)]
230	crunch	[(0, 1.6200236082077026)]
231	process_not	[(10, 1.0290238857269287)]
232	silicon	[(10, 1.0290238857269287)]
233	stop	[(17, 1.5031118392944336), (4, 1.148538589477539)]
234	experi	[(19, 2.644817352294922), (14, 1.7212815284729004)]
235	was_impress	[(15, 2.4971163272857666), (1, 2.083897590637207)]
236	the_on	[(7, 1.8463189601898193), (1, 1.4939783811569214)]
237	beast	[(10, 2.5245516300201416)]
238	appli	[(13, 3.5958824157714844)]
239	slow	[(19, 3.540684700012207), (2, 2.7472362518310547)]
240	tabl	[(14, 2.629976511001587), (11, 2.2206079959869385)]
241	wear	[(14, 3.185878276824951), (13, 2.098916530609131)]
242	moment	[(2, 2.7472362518310547), (0, 0.7160161733627319)]
243	associ	[(10, 1.0290238857269287)]
244	to_buy	[(7, 2.68617844581604), (15, 1.8074167966842651)]
245	method	[(3, 3.0917115211486816)]
246	airtight	[(0, 0.8878768086433411)]
247	alot	[(14, 1.4418610334396362), (2, 1.3418437242507935)]
248	an_excel	[(5, 3.0070388317108154), (0, 2.2229888439178467)]
249	lacer	[(2, 3.406636953353882)]
250	40	[]
251	hide	[(0, 0.8878768086433411)]
252	expos	[]
253	chapter	[(10, 1.0290238857269287)]
254	very_happi	[(0, 0.8878768086433411)]
255	percentag	[(10, 1.0290238857269287)]
256	push	[(13, 1.0807371139526367), (2, 1.0238596200942993)]
257	contain	[(3, 0.5638129711151123), (13, 0.5541869401931763)]
258	if_i_us	[(5, 2.335911989212036)]
259	mess	[(4, 1.7060703039169312), (16, 1.5532740354537964)]
260	3	[]
261	convent	[(10, 1.0290238857269287)]
262	cup	[(11, 1.5759745836257935), (8, 1.5598431825637817)]
263	think	[(7, 1.0284762382507324), (12, 1.022048830986023)]
264	dissapoint	[(4, 2.864424228668213)]
265	precis	[]
266	hope	[(13, 2.366366386413574), (12, 1.7787481546401978)]
267	blade	[(0, 0.5798707008361816), (2, 0.5582624673843384)]
268	jam	[(7, 3.124563694000244), (11, 2.2206079959869385)]
269	perceiv	[(13, 3.5958824157714844)]
270	sand	[(10, 1.0290238857269287)]
271	scoop	[(5, 1.883764624595642), (10, 0.8298423886299133)]
272	canist	[(0, 0.8878768086433411)]
273	chop	[(5, 1.8207494020462036), (18, 1.614169716835022)]
274	my	[]
275	includ	[]
276	reassembl	[(0, 1.6200236082077026)]
277	well	[]
278	absolut	[(7, 1.401557445526123), (4, 1.210028886795044)]
279	d	[]
280	possibl	[(2, 2.7472362518310547), (10, 1.4933147430419922)]
281	easy_to	[(0, 2.246856927871704), (8, 2.011422872543335)]
282	off	[]
283	clean	[(0, 1.0977977514266968), (10, 1.0310337543487549)]
284	ding	[(16, 3.9811270236968994)]
285	bl610	[(13, 2.441460371017456), (10, 1.2572609186172485)]
286	short	[(13, 2.627887487411499), (12, 1.5363967418670654)]
287	care	[(0, 1.7063511610031128), (1, 1.6889792680740356)]
288	fine	[(2, 1.271538257598877), (8, 1.1536585092544556)]
289	measur	[(5, 2.531704902648926), (11, 2.2206079959869385)]
290	less	[]
291	hesit	[(10, 0.8298423886299133), (0, 0.7160161733627319)]
292	horribl	[(14, 3.185878276824951), (18, 2.7492287158966064)]
293	logic	[(0, 0.8878768086433411)]
294	perform	[(12, 2.0258936882019043), (16, 1.7690914869308472)]
295	reach	[(14, 2.2609832286834717), (3, 1.8046319484710693)]
296	stack	[(1, 2.7418758869171143), (0, 1.099931240081787)]
297	bulki	[(10, 0.8298423886299133), (0, 0.7160161733627319)]
298	00	[]
299	i_went	[(0, 1.6200236082077026)]
300	afterward	[]
301	torqu	[(0, 0.8878768086433411)]
302	champ	[(15, 2.1023879051208496), (10, 0.6986660957336426)]
303	store	[(3, 2.058633804321289), (17, 1.842189073562622)]
304	flash	[(4, 1.9448294639587402), (1, 1.7544881105422974)]
305	say	[(4, 1.8176279067993164), (10, 1.5850952863693237)]
